maestro,5,498,2022-04-04 18:42:00 +0000 UTC
wowow,6,53,2022-04-05 09:53:00 +0000 UTC
luckyPunch,6,5,2022-04-05 09:59:17.4241791 +0200 CEST m=+277.794379901
brooo,7,407,2022-04-05 09:49:00 +0000 UTC
maximus,7,309,2022-04-05 09:55:52.4707815 +0200 CEST m=+72.840982301
newyork,7,85,2022-04-05 09:49:00 +0000 UTC
lucky7,7,377,2022-04-05 09:52:00 +0000 UTC
pool,8,173,2022-04-05 09:50:00 +0000 UTC
sl33p,8,183,2022-04-05 09:52:00 +0000 UTC
400plus,8,403,2022-04-05 10:00:13.0453218 +0200 CEST m=+333.415522601
threee,9,309,2022-04-05 09:59:45.6310976 +0200 CEST m=+306.001298401
ero,9,279,2022-04-05 09:57:05.8258374 +0200 CEST m=+146.196038201
waffle,9,241,2022-04-05 09:54:00 +0000 UTC
yeah,9,334,2022-04-05 09:57:38.1886748 +0200 CEST m=+178.558875601
nicee,9,51,2022-04-05 09:58:15.7809071 +0200 CEST m=+216.151107901
badLuck,9,13,2022-04-05 09:56:22.217995 +0200 CEST m=+102.588195801
sky,9,136,2022-04-05 09:55:12.5471788 +0200 CEST m=+32.917379601
baczek,9,157,2022-04-04 20:24:00 +0000 UTC
night33,9,393,2022-04-05 09:51:00 +0000 UTC
ja,9,194,2022-04-04 20:26:00 +0000 UTC
benten,10,427,2022-04-05 09:50:00 +0000 UTC
7711@,10,327,2022-04-05 09:58:50.8530945 +0200 CEST m=+251.223295301
kowalsky,10,458,2022-04-05 09:53:00 +0000 UTC
lxy,11,63,2022-04-04 20:10:00 +0000 UTC
meh,16,203,2022-04-04 20:11:00 +0000 UTC
jul,16,51,2022-04-04 20:23:00 +0000 UTC
mynickname,21,114,2022-04-04 18:41:00 +0000 UTC
